,Datetime,Tweet Id,Text,Username,sentiment,sentiment_score,Emotion,emotion_score
19886,2022-03-01 16:01:47+00:00,1498689966997532676,Every @Dell XPS laptop I have owned (3rd one now) has had the battery totally crap out between year 1-2. Won’t hold a charge for more than 15 minutes. Post warranty. Just me?,clawrence,negative,0.8844338059425354,disgust,0.9416771531105042
19887,2022-03-01 15:30:04+00:00,1498681986017374210,@SaskSneeze @SaskTel @Dell The Sarcan amounts and dates were incorrect and there’s no way I received this. Temps you to click.,regina_grandma,negative,0.8861345052719116,anger,0.9308024644851685
19888,2022-03-01 15:28:50+00:00,1498681678000230400,@SaskSneeze @SaskTel @Dell I’ve had this too. The one that really looked legit was from Sarcan. Showed my recent payments and click here if not correct to go to MySarcan dashboard. The CRA eTransfer one is also out there. All have https://t.co/NYyamMNNx2 ending on sender. #sasktel,regina_grandma,neutral,0.7259047627449036,disgust,0.5759043097496033
19889,2022-03-01 15:01:04+00:00,1498674690411401216,"#RT @AgileThought: T-minus one hour from Accelerate! We're leaving registration on all day so you can tune in to industry experts and thought leaders from organizations like @dell, @microsoft, Avalon Healthcare Solutions, and more. RSVP for this free vir… https://t.co/rp0viOquj0",ericlandes,positive,0.6919389367103577,anticipation,0.8400447368621826
19890,2022-03-01 15:00:13+00:00,1498674474421567498,"T-minus one hour from Accelerate! We're leaving registration on all day so you can tune in to industry experts and thought leaders from organizations like @dell, @microsoft, Avalon Healthcare Solutions, and more. RSVP for this free virtual summit: https://t.co/iXDtL2HwgO",AgileThought,positive,0.77623051404953,anticipation,0.8398328423500061
19891,2022-03-01 14:58:53+00:00,1498674139468603396,@SaskTel basically upon further investigation I was like... @dell.com? um that's not an email sasktel uses,SaskSneeze,negative,0.551241397857666,anger,0.8715081214904785
19892,2022-03-01 14:47:52+00:00,1498671365213282312,"In my whole life, I had most worst experience with @Dell only. First of all they sold me a faulty device, after multiple mails and two months of follow-up, they replaced it with a defective device. @DellCares @DellOutlet and service centers are super pathetic. #DELL",sukumarpayal,negative,0.9490892887115479,anger,0.9708237051963806
19893,2022-03-01 13:24:04+00:00,1498650277494530054,"Coming together is a beginning , keeping together is progress, working together is success . Thank you Bangalore for being the ACE champion for women workforce  ! Grateful . @ibm @SwissRe @Dell @volvocarsin @WeAceOfficial @rach0k https://t.co/70HAUQ5CZv",anuranjita,positive,0.9778844714164734,joy,0.9885575771331787
19894,2022-03-01 13:18:04+00:00,1498648769658646533,"Talk about better together! @CDWCorp and @Dell can simplify your IT operations with #HCI solutions, and protect your #data in the #cloud with #cybersecurity that helps you do more with less. #cdwsocial https://t.co/esD8gffo1v https://t.co/BzpzfQoWAH",RandySEvans,positive,0.8756074905395508,optimism,0.9394162893295288
19895,2022-03-01 12:08:34+00:00,1498631279096520704,Did u know that u can have one fabric with two switches using the inter switch link ....am in love with @Dell EMC,ceciliokisitu,positive,0.9820386171340942,joy,0.9888778328895569
19896,2022-03-01 11:07:18+00:00,1498615860952371201,"i didnt expected this from dell as I paid a large amount and the reply with this type of answers so who will this of buying a dell laptop next time. 
@Dell @DellCaresPRO @DellCares @DellEMCsupport",mohitkatyal01,negative,0.8147023320198059,disgust,0.7986405491828918
19897,2022-03-01 10:42:31+00:00,1498609622684422147,"#MWC22 | #Marvell Drives 5G #OpenRAN with Partners
@MarvellTech
@DellTech
@Dell

 https://t.co/h4ZbFQ03sD",ziaaskari,neutral,0.5718016624450684,anticipation,0.5967437624931335
19898,2022-03-01 10:41:44+00:00,1498609425849851904,"#MWC22 | #Marvell Drives 5G #OpenRAN with Partners
@MarvellTech
@Dell 
@DellTech
@AnalogDevicesJP

https://t.co/0EcUZRZDgy",telecomdrive,neutral,0.6241296529769897,anticipation,0.5496337413787842
19899,2022-03-01 09:55:19+00:00,1498597744956612611,"@JuddLegum @Ford @Walmart @Delta @Deloitte @NRCC @LibertyMutual @nardotrealtor @Dell @PwC @AmericanAir @budweiserusa @ATT @Cigna @comcast @CVSHealth If Judd does business with any of these companies, he is supporting the reelection of MTG and Gosar.",joeeule,neutral,0.6865619421005249,anticipation,0.5599656701087952
19900,2022-03-01 09:54:36+00:00,1498597562982539264,"How to do a @Dell Firmware update in @ubuntu:
Step 1: Open ""Software Center"".
Step 2: Click update.
Step 3: Reboot.

That's it. I am stunned at how easy this is. Loving Ubuntu more and more by the day. Don't regret switching from Windows to Ubuntu as my main OS for a second.",xorinzor,positive,0.9022558331489563,joy,0.989195704460144
19901,2022-03-01 09:51:27+00:00,1498596772792668161,"Dell company is providing poor grievance redressal process. 
I am still waiting for any support from their side on my complaint. 
I request the concerned to resolve my issues speedly.@Dell @DellCares https://t.co/Jk5Zp3dcpP",Avantik52516664,negative,0.9003250002861023,anger,0.9749930500984192
19902,2022-03-01 09:30:10+00:00,1498591415483482115,"Join the @Dell Technologies webinar introducing their next generation of Dell #PowerVault entry level #StoragePlatform, which provides simplicity, performance, and affordability. Assisting small to medium businesses.

Register now: https://t.co/9TGKaqoTy2 https://t.co/x4pP871ZVN",FirstDist,positive,0.7740047574043274,joy,0.9247117638587952
19903,2022-03-01 08:29:09+00:00,1498576060371324928,"@Dell hi. Kindly advise how I share a concern with your complaints team, thank you.",thisleejones,neutral,0.7502565383911133,anger,0.5157294869422913
19904,2022-03-01 07:37:50+00:00,1498563145358778374,Learned that customer is bound to call Dell Cust Care for complaints and no direct mail to support will be entertained. So I called up Dell and learned that they do not have updated information. Thus wasted my 30 mins on a call with no solution. #Dell #DellVostro @Dell_IN @Dell,yogeshwarv,negative,0.8145461082458496,anger,0.9785537719726562
19905,2022-03-01 07:33:02+00:00,1498561936325156866,"The ongoing war between #RussiaUkraine has caused several companies and organizations to #banRussia. These include Norway’s Sovereign Wealth Fund, Premier League Club @ManUTD, @Dell, @Delta, @F1, @RollsRoyce, @Eurovision, @UEFA, @Intel, and @BP_plc.
#CKM
https://t.co/6Lm8znCzCc",ckmnewsfeed,negative,0.6999195218086243,anticipation,0.41653770208358765
19906,2022-03-01 07:21:51+00:00,1498559124891746307,"@Dell please fix the software updates for the #latitude5500series I am breathing through pipes here 
@Windows 

#Release Patch",Securitus_,negative,0.851293683052063,anger,0.9104853272438049
19907,2022-03-01 07:13:09+00:00,1498556932499513348,@JuddLegum @Ford @Walmart @Delta @Deloitte @NRCC @LibertyMutual @nardotrealtor @Dell @PwC @AmericanAir @budweiserusa @ATT @Cigna @comcast @CVSHealth I'm sickened by this; sickened and saddened.,OffRamp_FindOut,negative,0.784465491771698,sadness,0.9564288854598999
19908,2022-03-01 07:00:42+00:00,1498553801237741569,"Dell Technologies telecoms solutions simplify, accelerate modern, open network deployments
https://t.co/ZXZy1HtJFf @Dell",ITWebConnect,positive,0.7515972852706909,joy,0.9429328441619873
19909,2022-03-01 06:44:51+00:00,1498549811632611331,"As #cyberthreats and attacks become more widespread, businesses must change the way they approach security to be more comprehensive. 

Click here to learn more: https://t.co/w9NmDo3BEs

https://t.co/TxDymW2XFH

#DellTechnologies #Servers 

@Dell",Pinnacle_ICT,neutral,0.7932952046394348,fear,0.8187611103057861
19910,2022-03-01 06:18:35+00:00,1498543201103187968,You seriously have some heavy weed smokers @MichaelDell. No one know anything about my issue. And any tom dick Harry call and ask to exchange the laptop. @Dell seems to be big time fucked up entity now.,TheDissent,negative,0.9451106190681458,anger,0.9865643978118896
19911,2022-03-01 06:07:14+00:00,1498540346661572609,@DellCares @DellCares @Dell @Dell_IN Seems like have to show the screenshot of the replies i got on direct message. Still im not getting resolution for the issue instant asking to reply on direct message.,aruncool240,negative,0.7427948713302612,anger,0.9587073922157288
19912,2022-03-01 06:06:04+00:00,1498540050358829058,"My dear Dumb Dumber Dumbest @Dell , one thing you don't sell good laptop then don't do good service and now don't do messages from any proper registered number to exchange the laptop. WTF is this. https://t.co/cyhgzbYM2M",TheDissent,negative,0.9306752681732178,anger,0.97722989320755
19913,2022-03-01 05:56:54+00:00,1498537744896643072,Dell India Laptop Service is worst. I tried to contact them over phone and over whatsApp within extended warranty period but no response. Even their support app was not working from my laptop. @Dell @HP,KaushikWBK,negative,0.9256446361541748,anger,0.982109785079956
19914,2022-03-01 04:18:58+00:00,1498513099611160582,"Ugh. Without my laptop for a few days. Battery is shot. @Staples has to order a new one for my @dell. Hope it comes fast. Hate doing everything on my phone, which just got a new battery too. What's next?",ClarkAmie,negative,0.9025682210922241,disgust,0.9416441917419434
19915,2022-03-01 03:38:16+00:00,1498502855832977408,"@JuddLegum @Ford @Walmart @Delta @Deloitte @NRCC @LibertyMutual @nardotrealtor @Dell @PwC @AmericanAir @budweiserusa @ATT @Cigna @comcast @CVSHealth @comcast is really on a roll, between this and the horrific content being pumped out daily by Fox News and Tucker Carlson.",PlunderKin,neutral,0.5142658352851868,anger,0.8398550748825073
19916,2022-03-01 03:20:32+00:00,1498498394762981378,@JuddLegum @Mattison @Ford @Walmart @Delta @Deloitte @NRCC @LibertyMutual @nardotrealtor @Dell @PwC @AmericanAir @budweiserusa @ATT @Cigna @comcast @CVSHealth @Delta Very disappointing.,YouGottaVote,negative,0.8201766610145569,sadness,0.918014407157898
19917,2022-03-01 02:35:20+00:00,1498487017390411776,@ZoeyZoeAz @Walmart @Dell @ATT @comcast @Budweiser @budweiserusa @AmericanAir @cvspharmacy @Delta I can honestly say I do no business w any of these companies except @comcast and we’re a captive audience where I live. There are no real competitors…,dalvajulia,negative,0.6055014729499817,anger,0.8691183924674988
19918,2022-03-01 02:14:00+00:00,1498481652242255876,"When I first bought my I9-12900K RTX 3090, @Dell only had 64gig on XPS machines

My box came with 64 gig of 4400 mem. Corsair came out with 4 x 32 5200 so I shell out $1,300 including tax

I noticed zero improvement. Blender benchmarks even went down

They do look better though",RealDataJuggler,negative,0.4775805175304413,disgust,0.596560001373291
19919,2022-03-01 01:59:19+00:00,1498477955034480643,@mtneve @JuddLegum @Ford @Walmart @Delta @Deloitte @NRCC @LibertyMutual @nardotrealtor @Dell @PwC @AmericanAir @budweiserusa @ATT @Cigna @comcast @CVSHealth No. I meant Rite Aid for my Rx. I don’t have a Walgreens near by ☺️,JoyfulSyd,neutral,0.8159781098365784,anticipation,0.28843867778778076
19920,2022-03-01 01:58:19+00:00,1498477705326698498,@DellCares I'm not looking for technical assistance. I'm looking for @Dell to stop donating to anti-democracy politicians.,CurtTalksTV,negative,0.8358054161071777,anger,0.9378028512001038
19921,2022-03-01 01:56:42+00:00,1498477296050753536,"@JuddLegum @Ford @Walmart @Delta @Deloitte @NRCC @LibertyMutual @nardotrealtor @Dell @PwC @AmericanAir @budweiserusa @ATT @Cigna @comcast @CVSHealth @FedEx @Google @intel @JNJCares @jpmorgan @Publix @TMobile @united @Verizon @WellsFargo @BestBuy Don’t like Ford, will drop @Verizon Verizon very soon and will make sure no one in my circle buys Ford and get Verizon",aamiraltaf71,neutral,0.4976322650909424,anger,0.7313984632492065
